Date,Price
2023-06-11 16:00:00,25760.9
2023-06-10 16:00:00,25623.5
2023-06-09 16:00:00,26470.5
2023-06-08 16:00:00,26728
2023-06-07 16:00:00,26322.1
2023-06-06 16:00:00,26066
2023-06-05 16:00:00,26107
2023-06-04 16:00:00,27193.7
2023-06-03 16:00:00,27309.7
2023-06-02 16:00:00,27100.4
2023-06-01 16:00:00,26883.8
2023-05-31 16:00:00,26929.3
2023-05-30 16:00:00,27672.6
2023-05-29 16:00:00,27625.2
2023-05-28 16:00:00,27268.4
2023-05-27 16:00:00,26685.2
2023-05-26 16:00:00,26754.1
2023-05-25 16:00:00,26223.1
2023-05-24 16:00:00,26305.3
2023-05-23 16:00:00,27323.5
2023-05-22 16:00:00,26877.2
2023-05-21 16:00:00,26894.4
2023-05-20 16:00:00,26939.8
2023-05-19 16:00:00,26892
2023-05-18 16:00:00,27071.8
2023-05-17 16:00:00,26782.8
2023-05-16 16:00:00,27038
2023-05-15 16:00:00,27395.8
2023-05-14 16:00:00,27076.3
2023-05-13 16:00:00,26817.4
2023-05-12 16:00:00,26311.4
2023-05-11 16:00:00,27182.9
2023-05-10 16:00:00,28147.6
2023-05-09 16:00:00,27424.9
2023-05-08 16:00:00,27891.1
2023-05-07 16:00:00,28947
2023-05-06 16:00:00,28578.2
2023-05-05 16:00:00,29351.7
2023-05-04 16:00:00,28885.4
2023-05-03 16:00:00,28311.7
2023-05-02 16:00:00,28548.4
2023-05-01 16:00:00,28176.9
2023-04-30 16:00:00,29683.5
2023-04-29 16:00:00,29270.5
2023-04-28 16:00:00,29144.6
2023-04-27 16:00:00,29101.6
2023-04-26 16:00:00,29805.9
2023-04-25 16:00:00,27349.9
2023-04-24 16:00:00,27241.2
2023-04-23 16:00:00,27464.2
2023-04-22 16:00:00,27464.8
2023-04-21 16:00:00,28045.4
2023-04-20 16:00:00,28519.2
2023-04-19 16:00:00,29263.5
2023-04-18 16:00:00,30185.7
2023-04-17 16:00:00,29357.6
2023-04-16 16:00:00,30327.7
2023-04-15 16:00:00,30329.7
2023-04-15 16:00:00,30329.7
2023-04-14 16:00:00,30245.3
2023-04-13 16:00:00,30427.9
2023-04-12 16:00:00,29960
2023-04-11 16:00:00,30194.5
2023-04-10 16:00:00,28448.5
2023-04-09 16:00:00,27887.7
2023-04-08 16:00:00,28014
2023-04-07 16:00:00,27948.2
